program,0,1,2,3,-1
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_292/stochastic-volatility.stan,13.0,81.0,297.0,83.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_417/stochastic-volatility.stan,6.0,54.0,1030.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_585/stochastic-volatility.stan,9.0,63.0,1030.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_127/stochastic-volatility.stan,11.0,70.0,1038.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_97/stochastic-volatility.stan,11.0,72.0,539.0,155.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_60/stochastic-volatility.stan,11.0,72.0,1040.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_438/stochastic-volatility.stan,12.0,81.0,543.0,148.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_408/stochastic-volatility.stan,12.0,81.0,1043.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_278/stochastic-volatility.stan,11.0,62.0,1032.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_249/stochastic-volatility.stan,8.0,69.0,1038.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_118/stochastic-volatility.stan,11.0,67.0,1038.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_599/stochastic-volatility.stan,8.0,67.0,1036.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_30/stochastic-volatility.stan,12.0,83.0,1045.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_230/stochastic-volatility.stan,11.0,72.0,1039.0,26.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_428/stochastic-volatility.stan,11.0,72.0,1039.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_194/stochastic-volatility.stan,11.0,67.0,283.0,89.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_577/stochastic-volatility.stan,11.0,81.0,295.0,85.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_345/stochastic-volatility.stan,11.0,69.0,1034.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_582/stochastic-volatility.stan,11.0,85.0,1049.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_218/stochastic-volatility.stan,11.0,85.0,1044.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_196/stochastic-volatility.stan,11.0,67.0,1033.0,285.0,1.0
