program,0_-2,0_-3,0_-1,1_-3,1_-2,1_-1,-1_-2,0_-4,1_-4,-1_-3,1_-5,2_-4,0_-5,-1_-4
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_302/hearts.stan,14.0,104.0,0.0,43.0,6.0,4.0,1.0,20.0,31.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_160/hearts.stan,19.0,111.0,0.0,49.0,6.0,4.0,1.0,20.0,32.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_474/hearts.stan,18.0,110.0,0.0,44.0,6.0,4.0,1.0,22.0,42.0,0.0,8.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_38/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,17.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_443/hearts.stan,19.0,109.0,0.0,47.0,6.0,4.0,1.0,22.0,34.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_449/hearts.stan,18.0,105.0,0.0,48.0,6.0,4.0,1.0,25.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_395/hearts.stan,16.0,52.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_62/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_332/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,32.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_309/hearts.stan,18.0,110.0,0.0,44.0,6.0,4.0,1.0,22.0,45.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_436/hearts.stan,18.0,110.0,0.0,45.0,6.0,4.0,1.0,21.0,37.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_315/hearts.stan,18.0,110.0,0.0,44.0,6.0,4.0,1.0,22.0,40.0,0.0,7.0,0.0,0.0,0.0
